Latitude,Longitude,Temperature
32.806671,-86.79113,68.5
61.016028,-149.737909,24
33.729759,-111.431221,75.3
34.969704,-92.373123,63.8
36.778259,-119.417931,61.5
39.550051,-105.782067,49.2
41.603221,-73.087749,53
38.910832,-75.52767,59.7
27.994402,-81.760254,77.2
33.040619,-83.643074,63.1
20.796438,-156.331923,78.5
44.068203,-114.742043,46.8
40.633125,-89.398528,54.6
40.551217,-85.602364,53.7
41.878002,-93.097702,51.1
39.011902,-98.484246,56.2
37.839333,-84.27002,56.5
31.244823,-92.145024,70.2
45.253783,-69.445469,43.1
39.045753,-76.641273,54.2
42.407211,-71.382439,50.5
44.314844,-85.602364,49.6
46.729553,-94.6859,45.4
32.354668,-89.398528,66.3
37.964253,-91.831833,56.8
46.879682,-110.362566,42.5
41.492537,-99.90181,52.3
38.80261,-116.419389,49.9
43.193852,-71.572395,47.2
40.058324,-74.405661,55
34.97273,-105.032363,61.8
43.299428,-74.217933,51.5
35.759573,-79.0193,59
47.551493,-101.002012,40.4
40.417287,-82.907123,52.9
35.007752,-97.092877,63.4
43.804133,-120.554201,53.6
41.203322,-77.194525,52.8
41.580095,-71.477429,54.6
33.836081,-81.163725,62.4
43.969515,-99.90181,45.2
35.517491,-86.580447,59.5
31.968599,-99.90181,67.3
39.32098,-111.093731,55.6
44.558803,-72.577841,45.8
37.431573,-78.656894,55
47.751074,-120.740139,51.6
38.597626,-80.454903,51.8
43.784439,-88.787868,47.8
43.075968,-107.290284,42
